date,matchup,WL,PLAYER_NAME,MIN,FGM,OREB,BLK,REB,START_POSITION,TEAM_CITY,FG3A,FTM,FT_PCT,DREB,FG3_PCT,FG3M,STL,GAME_ID,TO,PF,PLUS_MINUS,PTS,FG_PCT,AST,PLAYER_ID,TEAM_ID,COMMENT,FTA,TEAM_ABBREVIATION,FGA
2020-03-01,LAL @ NOP,W,LeBron James,36:23,14.0,0.0,0.0,12.0,F,Los Angeles,5.0,3.0,1.0,12.0,0.6,3.0,2.0,21900900,6.0,2.0,22.0,34.0,0.667,13.0,2544,1610612747,,3.0,LAL,21.0
2020-03-01,LAL @ NOP,W,Kyle Kuzma,35:02,8.0,1.0,0.0,4.0,F,Los Angeles,8.0,2.0,0.667,3.0,0.25,2.0,1.0,21900900,0.0,4.0,11.0,20.0,0.444,1.0,1628398,1610612747,,3.0,LAL,18.0
2020-03-01,LAL @ NOP,W,JaVale McGee,24:21,4.0,2.0,6.0,4.0,C,Los Angeles,0.0,0.0,0.0,2.0,0.0,0.0,0.0,21900900,1.0,3.0,6.0,8.0,0.667,0.0,201580,1610612747,,0.0,LAL,6.0
2020-03-01,LAL @ NOP,W,Danny Green,22:45,4.0,0.0,0.0,3.0,G,Los Angeles,6.0,0.0,0.0,3.0,0.333,2.0,1.0,21900900,1.0,3.0,0.0,10.0,0.444,1.0,201980,1610612747,,0.0,LAL,9.0
2020-03-01,LAL @ NOP,W,Avery Bradley,24:55,3.0,1.0,1.0,2.0,G,Los Angeles,4.0,2.0,1.0,1.0,0.5,2.0,1.0,21900900,0.0,1.0,5.0,10.0,0.375,3.0,202340,1610612747,,2.0,LAL,8.0
2020-03-01,LAL @ NOP,W,Kentavious Caldwell-Pope,31:16,5.0,0.0,1.0,0.0,,Los Angeles,5.0,2.0,1.0,0.0,0.2,1.0,3.0,21900900,1.0,1.0,9.0,13.0,0.455,2.0,203484,1610612747,,2.0,LAL,11.0
2020-03-01,LAL @ NOP,W,Dwight Howard,22:01,4.0,2.0,1.0,6.0,,Los Angeles,0.0,0.0,0.0,4.0,0.0,0.0,0.0,21900900,1.0,5.0,8.0,8.0,0.667,1.0,2730,1610612747,,0.0,LAL,6.0
2020-03-01,LAL @ NOP,W,Markieff Morris,14:36,4.0,0.0,0.0,4.0,,Los Angeles,4.0,0.0,0.0,4.0,0.5,2.0,1.0,21900900,0.0,4.0,-9.0,10.0,0.5,1.0,202693,1610612747,,0.0,LAL,8.0
2020-03-01,LAL @ NOP,W,Rajon Rondo,16:46,2.0,0.0,0.0,1.0,,Los Angeles,1.0,0.0,0.0,1.0,0.0,0.0,0.0,21900900,3.0,0.0,-5.0,4.0,0.4,1.0,200765,1610612747,,0.0,LAL,5.0
2020-03-01,LAL @ NOP,W,Quinn Cook,11:55,2.0,0.0,0.0,0.0,,Los Angeles,2.0,0.0,0.0,0.0,0.5,1.0,0.0,21900900,0.0,3.0,-7.0,5.0,0.4,0.0,1626188,1610612747,,0.0,LAL,5.0
2020-03-01,LAL @ NOP,W,Brandon Ingram,39:08,5.0,0.0,0.0,4.0,F,New Orleans,9.0,4.0,1.0,4.0,0.111,1.0,1.0,21900900,3.0,5.0,4.0,15.0,0.217,2.0,1627742,1610612740,,4.0,NOP,23.0
2020-03-01,LAL @ NOP,W,Zion Williamson,33:14,12.0,2.0,0.0,7.0,F,New Orleans,0.0,11.0,0.846,5.0,0.0,0.0,0.0,21900900,6.0,2.0,-10.0,35.0,0.75,0.0,1629627,1610612740,,13.0,NOP,16.0
2020-03-01,LAL @ NOP,W,Derrick Favors,27:22,5.0,9.0,1.0,14.0,C,New Orleans,0.0,2.0,1.0,5.0,0.0,0.0,1.0,21900900,0.0,1.0,-8.0,12.0,0.417,0.0,202324,1610612740,,2.0,NOP,12.0
