date,matchup,game_id,result,p1_name,p1_pts,p1_reb,p1_ast,p2_name,p2_pts,p2_reb,p2_ast,p3_name,p3_pts,p3_reb,p3_ast,p4_name,p4_pts,p4_reb,p4_ast,p5_name,p5_pts,p5_reb,p5_ast,p6_name,p6_pts,p6_reb,p6_ast,op1_name,op1_pts,op1_reb,op1_ast,op2_name,op2_pts,op2_reb,op2_ast,op3_name,op3_pts,op3_reb,op3_ast,op4_name,op4_pts,op4_reb,op4_ast,op5_name,op5_pts,op5_reb,op5_ast,op6_name,op6_pts,op6_reb,op6_ast
2020-03-01,LAL @ NOP,21900900,W,LeBron James,34.0,12.0,13.0,Kyle Kuzma,20.0,4.0,1.0,JaVale McGee,8.0,4.0,0.0,Danny Green,10.0,3.0,1.0,Avery Bradley,10.0,2.0,3.0,Kentavious Caldwell-Pope,13.0,0.0,2.0,Brandon Ingram,15.0,4.0,2.0,Zion Williamson,35.0,7.0,0.0,Derrick Favors,12.0,14.0,0.0,Jrue Holiday,11.0,5.0,6.0,Lonzo Ball,19.0,9.0,9.0,Josh Hart,7.0,6.0,3.0
2020-02-29,LAL @ MEM,21900891,L,LeBron James,19.0,8.0,10.0,Anthony Davis,15.0,9.0,4.0,JaVale McGee,2.0,5.0,0.0,Avery Bradley,6.0,1.0,2.0,Alex Caruso,9.0,2.0,0.0,Kentavious Caldwell-Pope,11.0,2.0,2.0,Dillon Brooks,24.0,5.0,0.0,Kyle Anderson,8.0,3.0,3.0,Jonas Valanciunas,22.0,20.0,2.0,De'Anthony Melton,3.0,3.0,2.0,Ja Morant,27.0,6.0,14.0,Tyus Jones,7.0,3.0,2.0
2020-02-27,LAL @ GSW,21900876,W,Danny Green,0.0,0.0,1.0,Anthony Davis,23.0,6.0,1.0,JaVale McGee,12.0,6.0,1.0,Avery Bradley,12.0,1.0,2.0,Rajon Rondo,12.0,4.0,6.0,Kentavious Caldwell-Pope,9.0,3.0,1.0,Draymond Green,2.0,1.0,4.0,Marquese Chriss,4.0,7.0,4.0,Dragan Bender,4.0,4.0,1.0,Damion Lee,15.0,6.0,4.0,Jordan Poole,16.0,1.0,8.0,Kevon Looney,4.0,4.0,2.0
2020-02-25,LAL vs. NOP,21900861,W,LeBron James,40.0,8.0,6.0,Anthony Davis,21.0,14.0,3.0,JaVale McGee,2.0,9.0,0.0,Danny Green,17.0,5.0,4.0,Avery Bradley,0.0,4.0,1.0,Kentavious Caldwell-Pope,15.0,1.0,1.0,Brandon Ingram,34.0,7.0,4.0,Zion Williamson,29.0,6.0,3.0,Derrick Favors,8.0,3.0,0.0,Jrue Holiday,11.0,5.0,9.0,Lonzo Ball,10.0,8.0,8.0,JJ Redick,3.0,5.0,4.0
2020-02-23,LAL vs. BOS,21900842,W,LeBron James,29.0,8.0,9.0,Anthony Davis,32.0,13.0,3.0,JaVale McGee,4.0,8.0,0.0,Danny Green,3.0,2.0,0.0,Avery Bradley,3.0,2.0,1.0,Kyle Kuzma,16.0,4.0,0.0,Gordon Hayward,10.0,8.0,9.0,Jayson Tatum,41.0,5.0,2.0,Daniel Theis,16.0,9.0,0.0,Jaylen Brown,20.0,6.0,2.0,Marcus Smart,14.0,7.0,3.0,Semi Ojeleye,0.0,3.0,1.0
2020-02-21,LAL vs. MEM,21900833,W,LeBron James,32.0,3.0,7.0,Anthony Davis,28.0,13.0,4.0,JaVale McGee,2.0,5.0,0.0,Danny Green,3.0,3.0,3.0,Avery Bradley,14.0,5.0,1.0,Kyle Kuzma,8.0,4.0,3.0,Kyle Anderson,7.0,6.0,3.0,Jaren Jackson Jr.,7.0,4.0,1.0,Jonas Valanciunas,8.0,11.0,0.0,Dillon Brooks,7.0,2.0,2.0,Ja Morant,17.0,1.0,3.0,Brandon Clarke,14.0,10.0,4.0
2020-02-12,LAL @ DEN,21900817,W,LeBron James,32.0,12.0,14.0,Anthony Davis,33.0,10.0,2.0,JaVale McGee,4.0,3.0,0.0,Danny Green,3.0,2.0,0.0,Avery Bradley,10.0,1.0,2.0,Kyle Kuzma,3.0,1.0,3.0,Torrey Craig,5.0,8.0,4.0,Jerami Grant,15.0,7.0,1.0,Nikola Jokic,22.0,11.0,6.0,Gary Harris,13.0,1.0,1.0,Jamal Murray,32.0,3.0,10.0,Monte Morris,12.0,2.0,4.0
2020-02-10,LAL vs. PHX,21900801,W,LeBron James,17.0,8.0,9.0,Anthony Davis,25.0,10.0,5.0,JaVale McGee,4.0,7.0,0.0,Danny Green,5.0,1.0,1.0,Avery Bradley,12.0,0.0,0.0,Rajon Rondo,23.0,4.0,6.0,Mikal Bridges,18.0,6.0,3.0,Cameron Johnson,8.0,0.0,4.0,Cheick Diallo,15.0,4.0,3.0,Devin Booker,10.0,4.0,5.0,Ricky Rubio,13.0,3.0,5.0,Kelly Oubre Jr.,10.0,3.0,2.0
2020-02-08,LAL @ GSW,21900783,W,LeBron James,22.0,8.0,11.0,Anthony Davis,27.0,10.0,4.0,JaVale McGee,4.0,5.0,0.0,Danny Green,10.0,2.0,1.0,Avery Bradley,21.0,4.0,2.0,Rajon Rondo,11.0,4.0,4.0,Andrew Wiggins,24.0,2.0,3.0,Eric Paschall,6.0,4.0,2.0,Marquese Chriss,26.0,9.0,1.0,Damion Lee,8.0,3.0,2.0,Ky Bowman,7.0,2.0,11.0,Juan Toscano-Anderson,5.0,3.0,2.0
2020-02-06,LAL vs. HOU,21900768,L,LeBron James,18.0,9.0,15.0,Anthony Davis,32.0,13.0,3.0,JaVale McGee,4.0,5.0,1.0,Danny Green,15.0,2.0,3.0,Avery Bradley,15.0,1.0,4.0,Kentavious Caldwell-Pope,4.0,1.0,1.0,Danuel House Jr.,13.0,1.0,3.0,Eric Gordon,15.0,2.0,1.0,P.J. Tucker,11.0,6.0,0.0,Russell Westbrook,41.0,8.0,5.0,James Harden,14.0,7.0,7.0,Ben McLemore,5.0,1.0,0.0
2020-02-04,LAL vs. SAS,21900754,W,LeBron James,36.0,7.0,9.0,Anthony Davis,18.0,6.0,1.0,JaVale McGee,14.0,5.0,0.0,Danny Green,5.0,7.0,2.0,Avery Bradley,8.0,5.0,1.0,Kyle Kuzma,18.0,12.0,4.0,DeMar DeRozan,28.0,8.0,7.0,LaMarcus Aldridge,7.0,3.0,1.0,Trey Lyles,3.0,1.0,0.0,Bryn Forbes,13.0,0.0,3.0,Dejounte Murray,12.0,4.0,2.0,Patty Mills,3.0,0.0,1.0
2020-02-01,LAL @ SAC,21900736,W,LeBron James,15.0,10.0,11.0,Anthony Davis,21.0,4.0,6.0,JaVale McGee,7.0,8.0,1.0,Danny Green,9.0,4.0,3.0,Avery Bradley,19.0,2.0,0.0,Kyle Kuzma,12.0,2.0,1.0,Harrison Barnes,2.0,6.0,0.0,Nemanja Bjelica,9.0,3.0,3.0,Harry Giles III,16.0,8.0,1.0,Bogdan Bogdanovic,8.0,2.0,1.0,De'Aaron Fox,24.0,6.0,5.0,Buddy Hield,22.0,4.0,2.0
2020-01-31,LAL vs. POR,21900726,L,LeBron James,22.0,8.0,10.0,Anthony Davis,37.0,16.0,6.0,JaVale McGee,6.0,3.0,0.0,Danny Green,5.0,3.0,1.0,Avery Bradley,10.0,5.0,2.0,Kyle Kuzma,17.0,15.0,0.0,Trevor Ariza,2.0,3.0,3.0,Wenyen Gabriel,0.0,1.0,1.0,Hassan Whiteside,30.0,13.0,2.0,CJ McCollum,19.0,6.0,5.0,Damian Lillard,48.0,9.0,10.0,Gary Trent Jr.,10.0,0.0,1.0
2020-01-25,LAL @ PHI,21900684,L,LeBron James,29.0,7.0,8.0,Anthony Davis,31.0,7.0,2.0,Dwight Howard,2.0,5.0,0.0,Danny Green,2.0,5.0,1.0,Avery Bradley,7.0,1.0,1.0,Kyle Kuzma,4.0,5.0,2.0,Matisse Thybulle,6.0,1.0,1.0,Tobias Harris,29.0,8.0,1.0,Al Horford,16.0,6.0,1.0,Shake Milton,7.0,9.0,3.0,Ben Simmons,28.0,10.0,8.0,Furkan Korkmaz,9.0,0.0,1.0
2020-01-23,LAL @ BKN,21900667,W,LeBron James,27.0,11.0,10.0,Anthony Davis,16.0,11.0,2.0,Dwight Howard,14.0,12.0,1.0,Danny Green,14.0,1.0,0.0,Avery Bradley,2.0,1.0,1.0,Kyle Kuzma,16.0,2.0,1.0,Joe Harris,6.0,2.0,2.0,Taurean Prince,18.0,3.0,4.0,Jarrett Allen,7.0,8.0,0.0,Spencer Dinwiddie,7.0,7.0,13.0,Kyrie Irving,20.0,3.0,4.0,Caris LeVert,16.0,4.0,3.0
